,TrialID,paper_id,parsed_country
0,NCT04246242,e3194f34badda0d3da79d2c00ec844bc24269e73,China
1,ChiCTR2000029949,,China
2,NCT04245631,,China
3,NCT04252885,f6b9fd7dbed6516888eca71004caaa62aa0132d4,China
4,NCT04255940,,China
5,NCT04260308,,China
6,ChiCTR2000029953,,China
7,ChiCTR2000029935,4b2b9841f4d7064851b89540f55df916f279a82b,China
8,NCT04251871,,China
9,NCT04260594,,China
10,NCT04261426,,China
11,NCT04261907,58be092086c74c58e9067121a6ba4836468e7ec3,China
12,ChiCTR2000029941,,China
13,ChiCTR2000029939,4b2b9841f4d7064851b89540f55df916f279a82b,China
14,ChiCTR2000029947,,China
15,ChiCTR2000029896,,China
16,ChiCTR2000029850,eba1da4b90ee7cff2811391e12e773baa5cd6c2e,China
17,ChiCTR2000029814,,China
18,ChiCTR2000029883,,China
19,ChiCTR2000029869,,China
20,ChiCTR2000029907,,China
21,ChiCTR2000029905,,China
22,ChiCTR2000029811,,China
23,ChiCTR2000029810,,China
24,ChiCTR2000029867,,China
25,ChiCTR2000029849,,China
26,ChiCTR2000029870,,China
27,ChiCTR2000029855,,China
28,ChiCTR2000029805,,China
29,ChiCTR2000029789,,China
30,ChiCTR2000029822,,China
31,ChiCTR2000029815,,China
32,ChiCTR2000029779,,China
33,ChiCTR2000029778,,China
34,ChiCTR2000029853,,China
35,ChiCTR2000029839,,China
36,ChiCTR2000029813,,China
37,ChiCTR2000029806,,China
38,ChiCTR2000029777,,China
39,ChiCTR2000029776,,China
40,ChiCTR2000029782,,China
41,ChiCTR2000029764,,China
42,ChiCTR2000029821,,China
43,ChiCTR2000029819,,China
44,ChiCTR2000029790,,China
45,ChiCTR2000029788,,China
46,ChiCTR2000029804,,China
47,ChiCTR2000029769,,China
48,ChiCTR2000029765,d8c40e392f293801f901480c7b60f2e242818187,China
49,ChiCTR2000029765,d7d62e768f4a8eb40ba522eca28e173e5d53cbbc,China
50,ChiCTR2000029765,7852aafdfb9e59e6af78a47af796325434f8922a,China
51,ChiCTR2000029765,be006df454d295d39911d26c326ed81cd8734d14,China
52,ChiCTR2000029765,8868082a33ad12400eb72ee137df74bf7cf73fff,China
53,ChiCTR2000029763,,China
54,ChiCTR2000029695,,China
55,ChiCTR2000029656,,China
56,ChiCTR2000029768,,China
57,ChiCTR2000029754,,China
58,ChiCTR2000029758,ae216f7eedbbce7713ae035c05e12ef507ca3efe,China
59,ChiCTR2000029756,,China
60,ChiCTR2000029626,,China
61,ChiCTR2000029624,,China
62,ChiCTR2000029742,,China
63,ChiCTR2000029741,4b2b9841f4d7064851b89540f55df916f279a82b,China
64,ChiCTR2000029741,eff6ce20122149117020cda90ad17f7cff0e9fd4,China
65,ChiCTR2000029747,,China
66,ChiCTR2000029739,,China
67,ChiCTR2000029751,,China
68,ChiCTR2000029735,,China
69,ChiCTR2000029732,,China
70,ChiCTR2000029639,,China
71,ChiCTR2000029637,,China
72,ChiCTR2000029636,,China
73,ChiCTR2000029734,,China
74,ChiCTR2000029621,,China
75,ChiCTR2000029628,,China
76,ChiCTR2000029625,,China
77,ChiCTR2000029601,,China
78,ChiCTR2000029569,,China
79,ChiCTR2000029602,,China
80,ChiCTR2000029600,eba1da4b90ee7cff2811391e12e773baa5cd6c2e,China
81,ChiCTR2000029600,995847926bde7c0022c3c2b8ac9f3f84756c221d,China
82,ChiCTR2000029609,4b2b9841f4d7064851b89540f55df916f279a82b,China
83,ChiCTR2000029606,eba1da4b90ee7cff2811391e12e773baa5cd6c2e,China
84,ChiCTR2000029542,4b2b9841f4d7064851b89540f55df916f279a82b,China
85,ChiCTR2000029539,,China
86,ChiCTR2000029572,,China
87,ChiCTR2000029559,30c67218bbd1a5ffe68dab7fe7dfc5bc662e05a2,China
88,ChiCTR2000029559,4fbdf2f988d53903777041e904ad11fcd05e71c6,China
89,ChiCTR2000029559,19a08cc1423d6006b2251bdcfd142f88db7002e7,China
90,ChiCTR2000029559,3b2d23e915980dfdf470af247782be6a966ee909,China
91,ChiCTR2000029559,4b2b9841f4d7064851b89540f55df916f279a82b,China
92,ChiCTR2000029605,,Wuhan
93,ChiCTR2000029603,,China
94,ChiCTR2000029544,,China
95,ChiCTR2000029541,,China
96,ChiCTR2000029589,,China
97,ChiCTR2000029578,,China
98,ChiCTR2000029462,,China
99,ChiCTR2000029438,,China
100,ChiCTR2000029487,,China
101,ChiCTR2000029468,,China
102,ChiCTR2000029558,,China
103,ChiCTR2000029548,,China
104,ChiCTR2000029518,,China
105,ChiCTR2000029517,,China
106,ChiCTR2000029437,,China
107,ChiCTR2000029435,,China
108,ChiCTR2000029461,,China
109,ChiCTR2000029460,,China
110,ChiCTR2000029436,,China
111,ChiCTR2000029418,,China
