,title,summary,detailed_description,facility_name,facility_address,status,source
0,An Investigation of the Inflammatory Response in Severe Acute Respiratory Syndrome (SARS)," Severe Acute Respiratory Syndrome (SARS) is a newly recognized illness that can be fatal. The purpose of this study is to better understand SARS by collecting samples of blood and other body fluids of people who have been exposed to SARS or who are suspected to have the illness. Up to 300 volunteers aged 18 years or older will be enrolled in this study. Participants will donate blood samples and, if appropriate, samples of fluid from the lungs, nose, or throat. Researchers will test these samples for proteins that control or mediate inflammatory or immune responses. The patterns of these proteins will reveal how SARS affects the body and the efforts the body makes to fight off the infection. "," Severe acute respiratory syndrome (SARS) is a newly recognized illness associated with substantial mobidity and mortality. Patients develop fever followed by rapidly progressive and even fatal respiratory disease. SARS is associated with infection with a novel coronavirus. The evaluation of the inflammatory responses evoked by SARS may yield information regarding its pathogenesis and help with patient management. This protocol, then, merely aims to study disease pathogenesis and natural history, by studying samples and data that are collected by outside physicians or physicians at the Clinical Center and sent for evaluation of the inflammatory response. ","National Institutes of Health Clinical Center, 9000 Rockville Pike","Bethesda, United States",Completed,National Institutes of Health Clinical Center (CC)
1,Contamination During Removal of Two Different Personal Protective Systems When Working Under Conditions Requiring Enhanced Respiratory and Contact Precautions," Highly communicable and virulent diseases, the ongoing threat of emerging infectious diseases, and the prospect of bio-terrorism have become part of the new reality for health care workers. SARS transmission has occurred despite the use of droplet, contact, and airborne precautions. Potential explanations for some of the episodes of “through-precautions” transmission include the possibility of contamination during removal of protective clothing. The recommended protective systems (PPS) for aerosol generating procedures set out by the US Center for Disease Control and Prevention (CDC) and the Ontario Ministry of Health and Long Term Care (MOHLTC) differ. The failure of a PPS may be associated with significant consequences in terms of the morbidity and mortality of front-line health care workers. The purpose of this study is to determine if a difference exists between the rate of self-contamination due to deficiencies in contact precautions for individuals wearing either the CDC or MOHLTC recommended PPS. Study participants will don one of the two recommended PPS, be “contaminated” with an indicator that becomes visible under ultraviolet light, and then assessed for contamination of clothing layers and skin after removal of the PPS. They will then repeat the procedure using the other PPS. "," Background: Highly communicable and virulent diseases such as severe acute respiratory syndrome (SARS) and “avian influenza”, the ongoing threat of other emerging infectious diseases, and the prospect of bio-terrorism have become part of the new reality for health care workers (1). Recent experience with SARS has demonstrated that front-line health care professionals who perform or assist with aerosol generating procedures are at particularly increased risk of infection. At present, no data exists addressing the question of self-contamination during the removal of personal protective systems used in a health care setting. The latest suggested donning and removal procedures have not been validated with respect to the issue of selfcontamination due to deficiencies in contact precautions. The failure of a personal protective system or the donning and removal procedures for a personal protective system may be associated with significant consequences in terms of the morbidity and mortality of front-line health care workers. It is imperative that the rate of self-contamination for these two personal protective systems be assessed. The purpose of this study is to determine if a difference exists between the rate of self-contamination due to deficiencies in contact precautions for individuals wearing either Personal Protective Equipment (PPE) or the Powered Air Purifying Respirator (PAPR). This will be a prospective, randomized, controlled, crossover study. Institutional Ethics Committee approval will be obtained for this study. Fifty participants will be required for the study. Participants will be recruited from the Department of Anesthesiology attending and resident staff, other physician groups requiring PAPR training, and the Department of Respiratory Therapy. Recruitment will occur in conjunction with annual training in the use of the PAPR. Individuals will be informed of the purpose and procedure of the study and written consent will be obtained. Individuals will be excluded if they refuse to provide written consent to participate in the study. Participants will wear operating room scrub attire as their base clothing layer. They will be randomized to don either the PAPR or PPE. They will then repeat the process using the other personal protective system immediately after the study protocol has been completed using the first personal protective system. PPE will consist of an N95 respirator, goggles, face shield, bouffant hair cover, fluid resistant surgical gown, and fitted sterile gloves. Although the CDC has omitted a head covering as part of their PPE, the MOHLTC directives stipulate that a head covering must be worn when performing high-risk procedures in patients that require enhanced respiratory and contact precautions. A head covering (bouffant hair cover) will therefore form part of the PPE used in this study. The CDC recommendations state that goggles can be worn for eye protection. A face shield can be used in addition to the goggles but this is optional. The MOHLTC directives state that goggles and a face shield must be worn during high-risk procedures in patients that require enhanced respiratory and contact precautions. Goggles and a face shield will therefore form part of the PPE for this study. Therefore the donning and removal instructions for the PPE that will be used for this study will differ in sequence from those published by the CDC. The donning and removal procedures that will be used for this study more closely follow the sequence recommended by the MOHLTC and are indeed an enhanced version of those directives. PAPR will consist of a body suit and shoe covers, PAPR hood and power unit, N95 respirator, goggles, face shield, bouffant hair cover, fluid resistant surgical gown, and fitted sterile gloves. The MOHLTC has stipulated the use of donning/removal coaches for the PAPR. Neither the CDC, the MOHLTC, nor our institution have stipulated the use of donning/removal coaches for the PPE. The intent of this study is to examine the protective systems. The donning and removal procedures that form part of the protective systems may either contribute to or minimize self-contamination rates and must be assessed under the actual conditions of use. In order to best simulate the actual conditions that health care workers will be subjected to and to best evaluate donning and removal procedures and practices we have also decided not to employ a donning/removal coach for the PPE. Accordingly, during donning and removal of PPE participants will be given standardized written instructions outlining the donning and removal procedure but will not be coached. Participants will be given standardized written instructions and coached by a respiratory therapist during donning and removal of the PAPR. The standardized written instructions for donning and removal of both the PPE and PAPR are attached in Appendices A and B. All participants will be timed and videotaped during the protective system donning procedure. Timing will commence when the participants are instructed to begin reading 3 their written donning instructions for PPE or when the dressing coach says “begin” for the PAPR. Timing will cease when the participants have completed donning the final item of the protective system being tested. Videotaping will occur in order to record and assist in the detection of any protective system donning procedure violations. A donning procedure violation will be defined as having occurred if the participants perform a donning maneuver out of sequence or touch a piece of protective equipment out of sequence. Participants will be “contaminated” using a solution of fluorescein (1ml of a 25% solution diluted in 100cc sterile water) in a standardized fashion. A Devilbiss atomizer (Model DV-15-RD, Sunrise Medical Products, Carlsbad, California, USA) will be used to apply 5ml of fluorescein solution to the their front face shield and torso. We have chosen these contamination sites in order to simulate areas that would most likely be contaminated by the large respiratory droplets aerosolized by a patient that is either coughing or reacting to intubation attempts or any other high-risk respiratory procedure. The atomizer nozzle will be held at a distance of 30cm from the participants’ face-shield and will be applied from their shoulder level. The spray stream will be directed at the participants’ nose and then aimed inferiorly towards the their umbilicus in an upwards and downwards sweeping motion while keeping the atomizer oriented in the participants’ mid-saggital plane. Application will occur until the atomizer reservoir is empty. During this application the participants’ eyes will be closed. “Invisible” Detection Paste (Sirchie, 100 Hunter Place, Youngsville, NC) will be applied to the palmar aspects of the participants’ hands and anterior and posterior forearm to the elbow. Although the paste is labeled “invisible detection paste” it becomes visible when viewed under ultraviolet (UV) light. 15ml of paste will be used. We have chosen to use detection paste on the forearms and gloves of the study participants as these are the areas most likely to come in contact with any patient requiring enhanced contact and respiratory precautions. Participants will be videotaped, photographed with a digital camera, and assessed with a UV lamp (Burton Medical Products Inc, 21100 Lassen Street, Chatsworth, CA. 91311 USA) following contamination to ensure that standardized contamination of their front face shield, torso, forearm, and palmar aspect of the gloved hands has been achieved. Participants will then follow the standardized written removal procedures for the protective system that they are wearing. They will be timed and videotaped during the protective system removal procedure. Timing will commence when the participants are instructed to begin reading their written removal instructions for PPE or when the dressing coach says “begin” for the PAPR. Timing will be paused during assessments with the UV lamp. Timing will cease when the participants have completed removing the final item of the protective system being tested. Videotaping will occur in order to record and assist in the detection of any protective system removal procedure violations. A removal procedure violation will be defined as having occurred if the participants perform a removal maneuver out of sequence, touch a piece of protective equipment out 4 of sequence, or touch any part of their body other than a piece of protective equipment prior to performing final hand disinfection. Participants will be assessed with the UV lamp at specific intervals during the removal procedure in order to detect any visible contamination. Participants in PPE will be assessed with the UV lamp following removal of the outer PPE protective layer (outer fitted sterile gloves, fluid resistant surgical gown, and faceshield). Final assessment will occur after removal of the inner PPE protective layer (N95 mask, goggles, bouffant hair cover, inner fitted sterile gloves). Participants in PAPR will be assessed using the UV lamp after removal of the outer PAPR protective layer (PAPR hood and power unit, outer fluid resistant surgical gown, outer boot covers, outer fitted sterile gloves). They will then be assessed after removal of the middle PAPR protective layer (body suit, middle sterile fitted gloves, boot covers). Final assessment will occur after removal of the inner PAPR protective layer (N95 mask, goggles, bouffant hair cover, inner sterile fitted gloves). An evaluator blinded to the participants’ protective system will perform final assessment. All areas of the participants’ base clothing layer and any exposed skin and hair will be inspected after removal of the final protective layer. This will include the participants’ face. Contamination episodes will be counted and the contamination area will be calculated in cm2. ",Kingston General Hospital,"Kingston, Canada",Completed,Queen's University
2,"A Phase I Study of the Safety and Immunogenicity of a SARS Recombinant DNA Plasmid Vaccine, VRC-SRSDNA015-00-VP, in Healthy Adult Volunteers"," This study will test whether an experimental vaccine to protect against severe acute respiratory syndrome (SARS) is safe, causes any side effects, and causes an immune response. SARS affects the respiratory system, usually starting with fever and muscle aches. Patients may get a dry cough and have difficulty breathing. Infection may be mild, but it can lead to death. Vaccines contain substances from an infectious agent, such as a virus, that, when injected into a person's body, stimulates production of antibodies that create resistance, or immunity, to that agent. The vaccine in this study contains genetic material (DNA) that codes for a protein found in the virus that causes SARS. Injected into a muscle, it instructs the body to make a small amount of a SARS protein. The vaccine is made from just one small part of the code for one SARS protein, a person cannot get SARS from the vaccine. Normal volunteers between 18 and 50 years of age who are in general good health may be eligible for this 32-week study. Candidates are screened with a physical examination and blood and urine tests. Participants have nine clinic visits during the study. They receive three vaccine injections, given with a system called the Bioinjector 2000® (Registered Trademark), which delivers the vaccine through the skin without the use of a needle. Following each injection, participants take home a diary card, on which they record their temperature and any vaccine side effects daily for 5 days. Participants must immediately report any symptoms to a study physician, and, if necessary, go to the clinic for an examination. Participants have the following tests and procedures: - Vaccine injections (study day 0, around week 4, and around week 8, with at least 21 days between injections) - Medical history and, if needed, physical examination (study day 0 and weeks 2, 4, 6, 8, 10, 12, 24, and 32) - Check of vital signs and weight (study day 0 and weeks 2, 4, 6, 8, 10, 12, 24 and 32) - Lymph node examination (day 0 and weeks 2, 4, 6, 8, 10 and 12) - Blood draw (study day 0 and weeks 2, 4, 6, 8, 10, 12, 24 and 32) - Pregnancy test for women (day 0 and weeks 4, 8 and 32) - Urine sample (day 0 and weeks 2, 4, 6, 8, 10) "," Study Design: This is a Phase I open label study to evaluate safety, tolerability, and immune response of a recombinant DNA vaccine, VRC-SRSDNA015-00-VP. The hypothesis is that this regimen will be safe for human administration and elicit immune responses to the SARS coronavirus (CoV) spike (S) protein. The primary objective is to evaluate the safety and tolerability in humans of the investigational vaccine. Secondary and exploratory objectives are related to the immunogenicity of the study vaccine. Product Description: VRC-SRSDNA015-00-VP is composed of a single closed, circular DNA plasmid that is based on the S protein of SARS-CoV. Vaccine vials will be supplied at 4 mg/mL. Each DNA vaccination will be 1 mL of vaccine administered intramuscularly (in deltoid muscle) using the Biojector 2000 Needle-Free Injection Management System. Subjects: Healthy adult volunteers (18 to 50 years old) will be enrolled. Study Plan: Ten volunteers will be enrolled and receive 3 injections on the schedule shown in the schema. The protocol requires nine clinic visits and three telephone follow-up contacts. Study Duration: 32 weeks clinical follow-up for each participant. Study Endpoints: The primary endpoint is safety of the regimen, secondary immunogenicity endpoints are an intracellular cytokine staining (ICS) assay for SARS specific T cell responses and an assay for antibody-dependent enhancement of virus uptake. The principal timepoints for ICS are Week 0 (baseline) and Weeks 6, 8, 10 and 12. ICS at other study timepoints, as well as other immunogenicity assays through Week 32, will be completed as exploratory evaluations. ","National Institutes of Health Clinical Center, 9000 Rockville Pike","Bethesda, United States",Completed,National Institutes of Health Clinical Center (CC)
3,Clinical Evaluation and Management of Persons With Severe Acute Respiratory Syndrome (SARS)," This study will evaluate and treat people with SARS, a new type of pneumonia (lung infection) originating in China. SARS is caused by a new virus that is easily transmitted from person to person. This study will look at the course of the disease, determine how the virus affects the body and how the body fights the infection, and evaluate diagnostic tests to quickly identify the disease. People 18 years of age and older with probable or suspected SARS may be eligible for this study. Close contacts of patients with SARS, patients who recovered from SARS, and NIH health care workers involved in the care of patients will also be enrolled. Patients with SARS who require hospitalization will be admitted to the NIH Clinical Center. Because SARS spreads easily, hospitalized patients will be in a room by themselves and will not be allowed any visitors. They will not leave their room except for tests, such as x-rays. All participants will have a full medical examination, including a medical history, physical examination, and blood tests. In addition, the participants undergo various tests and procedures as follows: - Probable and suspected SARS patients may be hospitalized or may be seen as outpatients. They are provided the treatment judged best for their disease, usually according to expressed or published recommendations. The best treatment for SARS is not yet known, and there have been no studies evaluating therapies. Outpatients are seen three times a week for 2 weeks, once a week for 4 more weeks, and then at 6 months. Patients have mouth and throat swabs taken three times a week for the first 2 weeks, then once a week for 4 more weeks. Blood is drawn three times a week for the first 2 weeks, then once at weeks 3, 4, and 6. If virus is still detectable after 6 weeks, nose washings and throat swabs are repeated until no virus is detected for 3 weeks in a row. In addition, patients provide urine and stool samples, have a chest x-ray and electrocardiogram, and undergo bronchoscopy and bronchial lavage. For the bronchoscopy, a bronchoscope (pencil-thin flexible tube) is passed into the large airways of the lung, allowing the physician to examine the airways. Cells and secretions from the airways are rinsed from the lung with salt water. A brush the size of a pencil tip is passed through the bronchoscope to scrape cells lining the airways and pieces of tissue are collected for analysis. - Close contacts of patients are evaluated twice a week for 2 weeks, then once a week for 2 more weeks. Blood is drawn at the first visit and then at 1, 2, and 4 weeks. Mouth and throat swabs, nose washings, and sputum collections are done twice a week for 2 weeks, then once a week for 2 more weeks. Urine and stool samples are collected once a week for 4 weeks. If virus from the nose or throat is still detectable after 4 weeks, weekly nose washings and throat swabs continue until no virus is detected for 3 weeks in a row. Blood may also be drawn during the weekly visits. - Recovered SARS patients provide blood, urine, and stool samples and have a mouth and throat swab and nose aspiration to see if the SARS virus is present. For the nasal aspiration, salt water is put in the nose and then suctioned out. Usually, these tests are done only once. If virus is detected, however, the nose washing, throat swabs and blood tests are repeated once a week until no virus is detected for 3 weeks in a row. - Health care workers document their contact with patients, use of isolation procedures and equipment, and any unexpected events that occur during contact. They are evaluated for symptoms of infection and provide a blood sample once a month "," Since mid February 2003, there have been reports of atypical pneumonias originating in China which have subsequently been termed the Severe Acute Respiratory Syndrome (SARS). SARS has subsequently spread to multiple countries including the United States, and is accompanied by a higher than anticipated morbidity and mortality. Because of world travel and the apparent easy transmissibility of this disease reported in other nations, the number of patients with SARS may continue to rise. The primary purpose of this protocol is to evaluate and treat persons with SARS. Other goals will be to characterize the clinical course of SARS by also evaluating close contacts of people with SARS, as well as those that have recovered from SARS. Additional goals of the protocol are to elucidate the pathophysiology of SARS, characterize the immune response during SARS, and evaluate diagnostic tests for the rapid identification of SARS in clinical specimens. Further knowledge about SARS may lead to effective forms of therapy and improve mortality from this disease. ","National Institutes of Health Clinical Center, 9000 Rockville Pike","Bethesda, United States",Withdrawn,National Institutes of Health Clinical Center (CC)
4,Collection of Convalescent SARS Plasma by Apheresis," The purpose of this study is to collect plasma by apheresis from patients who have recovered from Severe Acute Respiratory Syndrome (SARS). This plasma will be processed into a SARS-antibody enriched intravenous immune globulin (IVIG) product. This product will then be available for use in a clinical trial if a SARS epidemic recurs. Potentially eligible participants are people between 18 and 56 years of age who have recovered from SARS. Potential participants will undergo three sequential screenings to determine their eligibility for this study. Eligible participants will then be scheduled for plasmapheresis. After apheresis, additional testing will be performed on a sample of the source plasma. Once the sample has been tested and cleared, the source plasma will be shipped to the United States to the storage facility and finally to the site of manufacturing of the IVIG product. Participants may donate plasma again after 14 days. The study will not have a direct benefit for participants. However, participation may help develop a treatment that could be useful to other people who become infected with SARS. "," Beginning in February 2003, there was an outbreak with a novel coronavirus causing an atypical pneumonia, subsequently referred to as Severe Acute Respiratory Syndrome (SARS). This syndrome is associated with a high mortality rate and has no proven treatment. There is, however, some evidence that treatment with convalescent plasma was beneficial. The primary purpose of this protocol is to collect plasma by apheresis from patients that recovered from SARS, and process this plasma into a high titer anti-SARS intravenous immune globulin (IVIG). This will be a collaboration between the National Institute of Allergy and Infectious Diseases and the Chinese University of Hong Kong. Cangene Corporation has been contracted to manufacture the collected plasma in the United States (U.S.) into an IVIG product, which can then be used for pre-clinical efficacy studies under an IND in a clinical trial if SARS recurs. It is intended that the treatment trial would be conducted in Hong Kong and/or the U.S., as well as any other place the disease recurs. ",The Chinese University of Hong Kong,"Hong Kong, China",Completed,National Institutes of Health Clinical Center (CC)
5,"Immune Responses, Transmission and Nucleotide Polymorphisms in Families With SARS Virus Infections"," The purpose of this study is to understand how severe acute respiratory syndrome (SARS) spreads within families, if significant disease resulted, and how the body responds to SARS. The study will also explore the affects of SARS on genetics and the immune system (the body system that fights disease). Up to 1000 people residing in Beijing, China may be involved in this study. Adult survivors of SARS (numbering 200) and their family members including children age 4 and up will be asked to participate in the study. The study will recruit an additional 200 persons, who will be matched with SARs survivors of similar age, gender, health status, and housing/work location, and recruited as comparators. Blood will be taken from all volunteers and tested for the presence of SARS antibodies (proteins made by the body's immune system in response to something that can cause infection). Health and clinic/hospital visit records may be reviewed. "," This study will investigate immune responses, transmission and nucleotide polymorphisms in families with severe acute respiratory syndrome (SARS) virus infections. Study objectives are to: develop an immune response profile to SARS coronavirus (SARS CoV) among SARS survivors, ascertain whether there was spread of SARS CoV within the family and whether significant disease resulted, and determine whether 1 or more nucleotide polymorphisms relate to occurrence and severity of SARS CoV disease or immunologic responses. Up to 1,000 persons residing in Beijing, China, will participate in this study and will include the following groups: 200 adult (greater than or equal to18 years of age) subjects, previously experiencing SARS caused by SARS Coronavirus, their household/family members, including children ages 4 and up (male or female), and an additional 200 adults matched for characteristics (age, gender, health status and housing/work location) of the 200 SARS survivors. As much as possible (for DNA tests), these controls will be persons involved in health care with a possible SARS exposure during the epidemic. Blood will be obtained from all subjects and used for SARS CoV antibody assays. Additional studies will be performed with blood specimens from selected subjects. Tests for serum antibodies will be used to identify infected persons in each family. For any who possess specific antibodies, a review of their health and clinic/hospital visit records for the SARS epidemic period will be conducted to identify any illness, its type and severity. A control for interpretation can be illnesses during the study period in uninfected family members. Data will be analyzed by age, gender, and health status of family members, the severity of SARS illness in the index case and the time of return to the home environment. The illness data will be obtained from medical records and not from subject memory. To assess health status, subjects for this study will have a chest x-ray performed and 15 mL of blood obtained for complete blood counts, liver function, to include ALT, and creatinine. For study purposes, 30 to 100 mL of blood will be collected from SARS survivors and from 50 matched controls (age, gender and health status). Illnesses from medical records will be characterized for severity and will include extent of x-ray changes, need for oxygen therapy, medical care in the intensive care unit and extent of leukocyte changes. Microarray chips that contain human genes determining immune responses, production of cytokines and chemokines and a number of other potential responses to illness have been constructed. PureGene kits will be provided for isolation of DNA from blood specimens for testing for polymorphisms. These analyses will be performed on the 200 SARS survivors, the 200 matched controls and on family members. The DNA samples will be shipped to laboratories at Baylor College of Medicine for analysis using the microarray chips. ",Beijing You'An Hospital,"Beijing, China",Withdrawn,National Institute of Allergy and Infectious Diseases (NIAID)
6,"Phase I, Double-Blinded, Placebo-Controlled Dosage Escalation Study of the Safety and Immunogenicity of Adjuvanted and Non-Adjuvanted Inactivated SARS Coronavirus (SARS-CoV) Vaccine Administered by the Intramuscular Route"," Severe acute respiratory syndrome (SARS) is a viral illness that affects the respiratory (breathing) system. The purpose of this study is to evaluate the safety and protective (immune) responses to different doses of a SARS vaccine given with or without an adjuvant. An adjuvant is a substance that may be added to a vaccine to improve the immune response so that less of the vaccine may need to be given. Study participants will include 72 volunteers, ages 18-40, living in the Houston, Texas area. The study will take place at Baylor College of Medicine. Participants will receive 2 injections of vaccine or placebo (substance made to look like the study vaccine but contains no medication) given 1 month apart. Participants will fill out a memory aid (diary) to document daily temperature and illness signs and symptoms for 7-9 days after each injection. During the 9 study visits, several blood samples will be collected. Participants will be in the study for up to 211 days, including screening. "," Severe acute respiratory disease (SARS) is a recently emerged infectious disease that was first recognized in Guangdong Province, China, in November of 2002. Efforts to prevent the spread of this virus stopped the epidemic in July, 2003, but over 8,000 cases had occurred and almost 800 people died. A new virus, a coronavirus, was shown to be the cause and it is believed to be a virus of bats that infected some animals that, in turn, infected people and they gave it to other people. While it is unlikely to again become epidemic, the virus is thought to be a risk for spread to humans if it was released intentionally by a terrorist group. For that reason, the U.S. government is developing vaccines and drugs for use if spread should occur again. This study will test the safety and protective responses to a vaccine against SARS made by a vaccine company for this study. This protocol concerns Phase I clinical testing of an inactivated, purified SARS Coronavirus (CoV) vaccine administered with and without aluminum hydroxide (Alum) adjuvant. The rationale for development of vaccines against SARS-CoV is to provide a means of control in the event a new SARS-CoV epidemic occurs or there is a deliberate release of the virus. Inactivated SARS-CoV vaccine has been shown to induce neutralizing antibodies that block binding of the virus to its receptor, ACE2. The primary objectives of the study are to assess: reactogenicity of escalating doses of adjuvanted and non-adjuvanted, inactivated SARS-CoV vaccine among healthy young adult subjects given their first intramuscular (IM) vaccinations with this vaccine, reactogenicity of a repeat IM administration of the same material to healthy young adult subjects one month later, and development and persistence of immune responses to escalating doses of adjuvanted and non-adjuvanted, inactivated SARS-CoV vaccine 1 and 5 months after the second (booster"") vaccination. The secondary objective of this study is to assess immune responses to each vaccine 1 month after a single dose. This is a single center, Phase I, out-patient study of the reactogenicity (tolerability and safety) and immunogenicity of escalating doses of an inactivated SARS-CoV vaccine with and without aluminum hydroxide as an adjuvant. Each vaccine will be injected as primary and booster vaccinations a month apart in the subject's non-dominant deltoid muscle. Participants will include 72 healthy males or non-pregnant, non-lactating females, 18-40 years old from the Houston, Texas area. The study will be conducted at Baylor College of Medicine in 2 sequential stages. This study consists of a preliminary dose-escalation stage (1.a, 1.b, and 1.c) followed by a dose comparison stage (2) as follows: Stage 1a (2.5 mcg), 7 subjects randomized in a 1:3:3 fashion to receive a 2 dose regimen of placebo, vaccine containing 2.5 mcg of antigen and no adjuvant, or 2.5 mcg of antigen and Alum adjuvant, Stage 1b (5.0 mcg), 7 subjects randomized in a 1:3:3 fashion to receive a 2 dose regimen of placebo, vaccine containing 5.0 mcg of antigen and no adjuvant, or 5.0 mcg of antigen and Alum adjuvant, Stage 1c (10.0 mcg), 4 subjects randomized in a 1:3 fashion to receive a 2 dose regimen of placebo or vaccine with 10 mcg of antigen and no adjuvant, Stage 2, 54 subjects (9 per vaccine group) randomized 1:1:1:1:1:1 to receive vaccines containing, 2.5, 5.0, or 10.0 mcg of antigen without adjuvant, or 2.5 or 5.0 mcg of antigen with Alum, or placebo. """,Baylor College of Medicine - Molecular Virology and Microbiology,"Houston, United States",Withdrawn,National Institute of Allergy and Infectious Diseases (NIAID)
7,"A Randomized, Dose-ranging Study of Alferon® LDO {Low Dose Oral Interferon Alfa-n3 (Human Leukocyte Derived)} in Normal Volunteers and/or Asymptomatic Subjects With Exposure to a Person Known to Have SARS or Possible SARS"," The purpose of this trial is to conduct a randomized dose-ranging study to evaluate the safety and activity of orally administered low dose interferon alfa-n3 as an antiviral and immunomodulator in asymptomatic subjects with recent exposure to a person with severe acute respiratory syndrome (SARS) or possible SARS. The primary objective of this pilot study is to determine an Alferon LDO dose level that increases or upregulates genes known to be mediators of interferon response. Secondary endpoints include the development of SARS symptomatology, rate of hospitalization, and mortality rate. In the event that no subjects with recent exposure to a person with SARS or possible SARS are available, this study will be conducted with 10 normal volunteers. "," This study will be an open-label, randomized, outpatient study in subjects potentially infected with the SARS-CoV (SARS-associated coronavirus) or normal volunteers using two dose levels of LDO interferon. Subjects will be randomized to receive Alferon® LDO (natural interferon alfa-n3) in a buffer solution once each day for 10 consecutive days at doses equal to 650 IU or 1300 IU/day. Pretherapy baseline evaluations will be performed prior to randomization. Subjects will be randomly assigned to each dose level, and both dosage levels will be started concurrently. Drug will be dispensed for a ten day treatment period, during which time any clinical symptoms and adverse events will be evaluated. Laboratory samples (2.5 ml blood) for microarray analysis evaluations will be made twice during baseline and 12-14 hours following doses 1, 5, and 10 on study days 2, 6, and 11, respectively. The conduct of this study will comply with International Conference on Harmonisation - Good Clinical Practice (ICH - GCP) and the 1996 or later version of the Declaration of Helsinki. ",Princess Margaret Hospital,"Lai Chi Kok, Hong Kong",Completed,AIM ImmunoTech Inc.
8,," Severe acute respiratory syndrome (SARS) is a new threat to public health since November, 2002. The SARS is highly contagious and is believed to be transmitted by person-to-person through droplet and direct contact. The patients present with fever, chills, cough, myalgia, dyspnea, and diarrhea. The symptoms aggravate in the second week and nearly 40% of the patients develop respiratory failure that requires assisted ventilation. The mortality rate is reported as 6.5%-7%. After several months, the world scientists found the etiology to be a new coronavirus not belonging to the previous coronavirus group I, II and III. The new virus is called SARS associated coronavirus (SARS-CoV). Although the high morbidity and mortality of SARS occurred in adults, there was rare mortality reported in the children. The report from Hong Kong pointed out that the symptoms of SARS in younger children were milder and the clinical course was not as aggressive as in adults. Therefore, the aim of the project is to design the experiment to see the differences of immunological responses to SARS-CoV protein in healthy younger children, teenagers, and adults. The investigators hope that the result could explain the reason for milder disease in younger children and the immunological pathogenesis of SARS. ",,"Li-Chieh Wang, MD","Taipei, China",Withdrawn,National Taiwan University Hospital
9,"A Multi-centre, Double-blinded, Randomized, Placebo-controlled Trial on the Efficacy and Safety of Lopinavir / Ritonavir Plus Ribavirin in the Treatment of Severe Acute Respiratory Syndrome", The study aims to examine whether the combination of Lopinavir/Ritonavir plus Ribavirin for treatment of severe acute respiratory syndrome (SARS) is superior to placebo. ,,United Christian Hospital,"Hong Kong, China",Unknown status,"Hospital Authority, Hong Kong"
